condition,sentences,tp,fp,fn,precision,recall,f1
unrestricted,889887,18,843,18761,0.020905923344947737,0.0009585174929442463,0.0018329938900203669
social-history scope,51265,16,98,17739,0.14035087719298245,0.0009011546043368065,0.0017908109015613634
"social-history scope, affirmative only",45563,12,85,8930,0.12371134020618557,0.0013419816595839856,0.0026551609691337534
