category,n,pct,fragmentary,pct_fragmentary
YES,302,71.23,104,34.44
NO_CLIN,48,11.32,27,56.25
CHECK,43,10.14,23,53.49
NO_MED,27,6.37,7,25.93
NO_SELFHARM,4,0.94,3,75.0
TOTAL,424,100.0,164,38.68
