stage,tag,precision,recall,f1,interpretable,note
NER,global,0.022650056625141562,0.001065019436604718,0.002034381039568711,yes,token-level metrics over all sentences
NER,B-ADDICTION,0.03861003861003861,0.0011749500646222536,0.002280501710376283,yes,
NER,I-ADDICTION,0.0,0.0,0.0,yes,
