condition,sentences,tp,fp,fn,precision,recall,f1
unrestricted,889887,20,863,18759,0.022650056625141562,0.001065019436604718,0.002034381039568711
social-history scope,51265,18,103,17737,0.1487603305785124,0.0010137989298789074,0.0020138733497426717
"social-history scope, affirmative only",45563,14,90,8928,0.1346153846153846,0.00156564526951465,0.003095290736237011
